timestamp,open,high,low,close
2025-04-22,0.999978,1.0,0.999797,1.0
2025-04-26,1.0,1.001,0.999954,1.001
2025-04-30,1.001,1.001,1.0,1.0
2025-05-04,1.0,1.0,0.999922,1.0
2025-05-08,1.0,1.0,0.999704,1.0
2025-05-12,1.0,1.0,0.999691,1.0
2025-05-16,1.0,1.0,0.99989,1.0
2025-05-20,1.0,1.0,1.0,1.0
2025-05-24,1.0,1.001,0.999814,1.0
2025-05-28,1.0,1.0,1.0,1.0
2025-06-01,1.0,1.0,0.999907,1.0
2025-06-05,1.0,1.001,1.0,1.0
2025-06-09,1.0,1.001,0.999965,1.0
2025-06-13,1.0,1.0,0.999898,1.0
2025-06-17,1.0,1.001,0.999866,1.0
2025-06-21,1.0,1.0,0.999892,1.0
2025-06-25,1.0,1.001,1.0,1.0
2025-06-29,1.0,1.001,1.0,1.0
2025-07-03,1.0,1.001,1.0,1.0
2025-07-07,1.0,1.0,1.0,1.0
2025-07-11,1.0,1.001,0.999879,1.0
2025-07-15,1.0,1.0,0.999906,1.0
2025-07-19,1.0,1.001,0.999659,1.001
2025-07-23,1.001,1.001,1.0,1.0
2025-07-27,1.0,1.001,0.999967,1.0
2025-07-31,1.0,1.0,0.99965,0.999902
2025-08-04,0.999898,1.0,0.999454,1.0
2025-08-08,1.0,1.0,0.999744,1.0
2025-08-12,1.0,1.0,0.999642,0.999983
2025-08-16,0.999991,1.001,0.999694,1.001
2025-08-20,1.001,1.001,0.99985,0.999895
2025-08-24,0.999823,1.0,0.999486,0.99964
2025-08-28,0.999647,1.0,0.999636,1.0
2025-09-01,1.0,1.0,1.0,1.0
2025-09-05,1.0,1.0,0.999948,1.0
2025-09-09,1.0,1.0,0.999895,1.0
2025-09-13,1.0,1.001,0.99994,1.001
2025-09-17,1.001,1.001,1.0,1.0
2025-09-21,1.0,1.001,0.999683,1.0
2025-09-25,1.0,1.001,1.0,1.0
2025-09-29,1.0,1.001,1.0,1.0
2025-10-03,1.0,1.001,0.99982,1.001
2025-10-07,1.0,1.001,1.0,1.0
2025-10-11,1.0,1.009,1.0,1.002
2025-10-15,1.002,1.002,1.001,1.001
2025-10-19,1.001,1.001,1.0,1.001
2025-10-23,1.001,1.001,1.0,1.0
2025-10-27,1.0,1.001,1.0,1.0
2025-10-31,1.0,1.0,0.9999,1.0
2025-11-04,1.0,1.0,0.999307,0.999931
2025-11-08,0.999908,1.0,0.998843,0.999704
2025-11-12,0.999476,1.0,0.999226,0.999349
2025-11-16,0.999437,1.001,0.99822,0.999625
2025-11-20,0.999617,1.003,0.99857,0.999136
2025-11-24,0.999185,0.999882,0.998539,0.999798
2025-11-28,0.999823,1.0,0.999451,0.999999
2025-12-02,0.999985,1.0,0.999739,1.0
2025-12-06,1.0,1.001,0.999945,1.0
2025-12-10,1.0,1.0,0.999896,1.0
2025-12-14,1.0,1.0,0.999999,1.0
2025-12-18,1.0,1.0,0.999674,0.9998
2025-12-22,0.99982,0.999875,0.999381,0.999788
2025-12-26,0.999783,0.999879,0.998441,0.999519
2025-12-30,0.999512,0.999675,0.998811,0.998916
2026-01-03,0.99891,0.99965,0.998445,0.999598
2026-01-07,0.999601,1.0,0.999297,0.999662
2026-01-11,0.999666,0.999666,0.99864,0.99875
2026-01-15,0.998766,1.0,0.998573,0.999965
2026-01-19,0.999922,0.999953,0.999463,0.999629
2026-01-23,0.999633,0.999662,0.998632,0.99905
2026-01-27,0.999073,0.999306,0.998356,0.998955
2026-01-31,0.998959,0.999892,0.998191,0.998523
2026-02-04,0.998532,0.999478,0.998338,0.998717
2026-02-08,0.998623,0.999871,0.997653,0.999431
2026-02-12,0.999406,0.999914,0.999051,0.999412
2026-02-16,0.999411,0.999939,0.99917,0.999591
2026-02-20,0.999601,0.999849,0.999424,0.999665
2026-02-24,0.99961,1.0,0.999412,0.999719
2026-02-28,0.999692,1.0,0.999502,1.0
2026-03-04,1.0,1.001,0.999549,1.0
2026-03-08,1.0,1.0,0.999824,0.999979
2026-03-12,0.999931,1.0,0.999714,1.0
2026-03-16,1.0,1.001,0.999899,1.0
2026-03-20,1.0,1.0,0.999888,1.0
2026-03-24,1.0,1.0,0.999563,0.999728
2026-03-28,0.99974,0.999828,0.999151,0.999309
2026-04-01,0.999323,0.999411,0.998968,0.999103
2026-04-05,0.999095,1.0,0.999095,0.999948
2026-04-09,0.99991,1.0,0.999508,1.0
2026-04-13,1.0,1.0,0.999057,1.0
2026-04-17,1.0,1.001,0.999792,1.0
2026-04-21,1.0,1.001,1.0,1.0
